Date,Time ofgreatest eclipse(Terrestrial Time),Saros,Type,Gamma,Magnitude,Centralduration(min:s),Location,Path width,Path width,Geographical area,Chart,Ref(s)
Date,Time ofgreatest eclipse(Terrestrial Time),Saros,Type,Gamma,Magnitude,Centralduration(min:s),Location,km,mi,Geographical area,Chart,Ref(s)
"September 23, 2033",13:54:31,125,Partial,−1.1583,0.689,—,72°12′S 121°12′W﻿ / ﻿72.2°S 121.2°W﻿ / -72.2; -121.2,—,—,"Partial: Southern South America, Antarctica",,[a][8]
"March 20, 2034",10:18:45,130,Total,0.2894,1.0458,4:09,16°06′N 22°12′E﻿ / ﻿16.1°N 22.2°E﻿ / 16.1; 22.2,159,99,"Total: Nigeria, Cameroon, Chad, Sudan, Egypt, Saudi Arabia, Kuwait, Iran, Afghanistan, Pakistan, India, ChinaPartial: Eastern Brazil, Africa, Europe, Middle East, Central Asia, South Asia",,[a][8]
"September 12, 2034",16:19:28,135,Annular,−0.3936,0.9736,2:58,18°12′S 72°36′W﻿ / ﻿18.2°S 72.6°W﻿ / -18.2; -72.6,102,63,"Annular: Chile, Bolivia, Argentina, Paraguay, BrazilPartial: Central America, Caribbean, South America, Antarctica",,[a][8]
"March 9, 2035",23:05:54,140,Annular,−0.4368,0.9919,0:48,29°00′S 154°54′W﻿ / ﻿29.0°S 154.9°W﻿ / -29.0; -154.9,31,19,"Annular: New ZealandPartial: Australia, Oceania, Antarctica, Central Mexico",,[a][8]
"September 2, 2035",01:56:46,145,Total,0.3727,1.032,2:54,29°06′N 158°00′E﻿ / ﻿29.1°N 158.0°E﻿ / 29.1; 158.0,116,72,"Total: Northern China, North Korea, JapanPartial: Asia, Northern Oceania, Hawaii, Alaska, Western United States",,[a][8]
"February 27, 2036",04:46:49,150,Partial,−1.1942,0.6286,—,71°36′S 131°24′W﻿ / ﻿71.6°S 131.4°W﻿ / -71.6; -131.4,—,—,"Partial: Antarctica, Southeastern Australia, New Zealand",,[a][8]
"July 23, 2036",10:32:06,117,Partial,−1.425,0.1991,—,68°54′S 3°36′E﻿ / ﻿68.9°S 3.6°E﻿ / -68.9; 3.6,—,—,Partial: Northern East Antarctica,,[a][8]
"August 21, 2036",17:25:45,155,Partial,1.0825,0.8622,—,71°06′N 47°00′E﻿ / ﻿71.1°N 47.0°E﻿ / 71.1; 47.0,—,—,"Partial: Russian Far East, Alaska, Canada, Greenland, Western Europe, Northwest Africa",,[a][8]
"January 16, 2037",09:48:55,122,Partial,1.1477,0.7049,—,68°30′N 20°48′E﻿ / ﻿68.5°N 20.8°E﻿ / 68.5; 20.8,—,—,"Partial: Europe, North Africa, the Middle East, Central Asia",,[a][8]
"July 13, 2037",02:40:36,127,Total,−0.7246,1.0413,3:58,24°48′S 139°06′E﻿ / ﻿24.8°S 139.1°E﻿ / -24.8; 139.1,201,125,"Total: Australia and New ZealandPartial: Indonesia, Australia, Oceania",,[a][8]
