Date,Time ofgreatest eclipse(Terrestrial Time),Saros,Type,Gamma,Magnitude,Centralduration(min:s),Location,Path width...9,Path width...10,Geographical area
2084-12-27,09:13:48,133,Total,−0.4094,1.0396,3:04,47°18′S 47°42′E﻿ / ﻿47.3°S 47.7°E﻿ / -47.3; 47.7,146,91,"Total: Crozet IslandsPartial: Southern Africa, Antarctica, Australia"
2085-06-22,03:21:16,138,Annular,0.0452,0.9704,3:29,26°12′N 131°18′E﻿ / ﻿26.2°N 131.3°E﻿ / 26.2; 131.3,106,66,"Annular: India, Myanmar, China, Ryukyu Islands, Marshall Islands, KiribatiPartial: South Asia, Southeast Asia, East Asia, Oceania, Hawaii"
2085-12-16,22:37:48,143,Annular,0.2786,0.9971,0:19,7°18′S 160°48′W﻿ / ﻿7.3°S 160.8°W﻿ / -7.3; -160.8,10,6.2,"Annular: Micronesia, Southwestern MexicoPartial: Northern Australia, Oceania, Hawaii, Western North America"
2086-06-11,11:07:14,148,Total,−0.7215,1.0174,1:48,23°12′S 12°30′E﻿ / ﻿23.2°S 12.5°E﻿ / -23.2; 12.5,86,53,"Total: Namibia, Botswana, South AfricaPartial: Eastern Brazil, Southern Africa, Central Africa"
2086-12-06,05:38:55,153,Partial,1.0194,0.9271,—,67°24′N 96°12′E﻿ / ﻿67.4°N 96.2°E﻿ / 67.4; 96.2,—,—,Partial: Asia
2087-05-02,18:04:42,120,Partial,1.1139,0.8011,—,70°18′N 127°36′E﻿ / ﻿70.3°N 127.6°E﻿ / 70.3; 127.6,—,—,"Partial: Eastern Russia, Northern North America, Northern Europe"
2087-06-01,01:27:14,158,Partial,−1.4186,0.2146,—,67°48′S 165°24′E﻿ / ﻿67.8°S 165.4°E﻿ / -67.8; 165.4,—,—,Partial: New Zealand
2087-10-26,11:46:57,125,Partial,−1.2882,0.4696,—,71°00′S 130°30′W﻿ / ﻿71.0°S 130.5°W﻿ / -71.0; -130.5,—,—,"Partial: Southern South America, Antarctica"
2088-04-21,10:31:49,130,Total,0.4135,1.0474,3:58,36°00′N 15°06′E﻿ / ﻿36.0°N 15.1°E﻿ / 36.0; 15.1,173,107,"Total: Cape Verde, Mauritania, Western Sahara, Northern Mali, Algeria, Tunisia, Malta, Southern Italy, Greece, Turkey, Georgia, Southern Russia, Kazakhstan, Uzbekistan, Kyrgyzstan, Western ChinaPartial: Eastern Canada, Greenland, Europe, West Africa, North Africa, Middle East, Central Asia, South Asia, Southeast Asia"
2088-10-14,14:48:05,135,Annular,−0.5349,0.9727,2:38,39°42′S 56°00′W﻿ / ﻿39.7°S 56.0°W﻿ / -39.7; -56.0,115,71,"Annular: Chile, ArgentinaPartial: South America, Antarctica, Southern Africa"
2089-04-10,22:44:42,140,Annular,−0.3319,0.9919,0:53,10°12′S 154°48′W﻿ / ﻿10.2°S 154.8°W﻿ / -10.2; -154.8,30,19,"Annular: Southeastern Australia, Tonga, NiuePartial: Australia, Oceania, Antarctica, Mexico, Central America"
2089-10-04,01:15:23,145,Total,0.2167,1.0333,3:14,7°24′N 162°48′E﻿ / ﻿7.4°N 162.8°E﻿ / 7.4; 162.8,115,71,"Total: China, Ryukyu Islands, Northern Mariana Islands, KiribatiPartial: East Asia, Southeast Asia, Oceania, Hawaii"
2090-03-31,03:38:08,150,Partial,−1.1028,0.7843,—,72°06′S 156°18′W﻿ / ﻿72.1°S 156.3°W﻿ / -72.1; -156.3,—,—,"Partial: Antarctica, Southeastern Australia, Oceania"
2090-09-23,16:56:36,155,Total,0.9157,1.0562,3:36,60°42′N 40°30′W﻿ / ﻿60.7°N 40.5°W﻿ / 60.7; -40.5,463,288,"Total: Northern Canada, Greenland, Southern Ireland, Southern United Kingdom, France, BelgiumPartial: North America, Western Europe, West Africa"
2091-02-18,09:54:40,122,Partial,1.1779,0.6558,—,71°12′N 17°48′W﻿ / ﻿71.2°N 17.8°W﻿ / 71.2; -17.8,—,—,"Partial: Europe, North Africa, Central Asia"
2091-08-15,00:34:43,127,Total,−0.949,1.0216,1:38,55°36′S 150°30′E﻿ / ﻿55.6°S 150.5°E﻿ / -55.6; 150.5,236,147,"Total: NonePartial: Australia, Oceania, Antarctica"
2092-02-07,15:10:20,132,Annular,0.4322,0.984,1:48,9°54′N 48°42′W﻿ / ﻿9.9°N 48.7°W﻿ / 9.9; -48.7,62,39,"Annular: Panama, Colombia, Venezuela, Guyana, Canary Islands, Morocco, Algeria, TunisiaPartial: North America, Central America, Caribbean, Northern South America, West Africa, Northwest Africa, Western Europe"
2092-08-03,09:59:33,137,Annular,−0.2044,0.9794,2:31,5°36′N 30°18′E﻿ / ﻿5.6°N 30.3°E﻿ / 5.6; 30.3,75,47,"Annular: Liberia, Côte d'Ivoire, Ghana, Togo, Benin, Nigeria, Cameroon, Chad, Central African Republic, South Sudan, Uganda, Kenya, Somalia, SeychellesPartial: Eastern Brazil, Africa, Southern Europe, Middle East, South Asia"
